PC RUNS: 82 minutes, 0 days

Application Tracker:
131.0.6778.140_131.0.6778.109_chrome_updater.exe: 0 minutes, 0 days
Acrobat.exe: 172 minutes, 5 days
AcroCEF.exe: 163 minutes, 5 days
Adobe Desktop Service.exe: 116 minutes, 0 days
Adobe Spaces Helper.exe: 23 minutes, 0 days
AdobeARM.exe: 12 minutes, 0 days
AdobeARM_UCB.exe: 0 minutes, 0 days
AdobeIPCBroker.exe: 72 minutes, 3 days
ai.exe: 4 minutes, 0 days
AM_Delta_Patch_1.421.1172.0.exe: 0 minutes, 0 days
AM_Delta_Patch_1.421.1242.0.exe: 0 minutes, 0 days
AM_Delta_Patch_1.421.1320.0.exe: 0 minutes, 0 days
AM_Delta_Patch_1.421.1353.0.exe: 0 minutes, 0 days
AM_Delta_Patch_1.421.806.0.exe: 0 minutes, 0 days
AM_Delta_Patch_1.421.924.0.exe: 0 minutes, 0 days
ApplicationTracker_main.exe: 1038 minutes, 14 days
AppVShNotify.exe: 1119 minutes, 0 days
BackgroundDownload.exe: 118 minutes, 0 days
backgroundTaskHost.exe: 122 minutes, 7 days
BackgroundTransferHost.exe: 1 minutes, 0 days
BdeUISrv.exe: 20 minutes, 0 days
CalculatorApp.exe: 1086 minutes, 1 days
CCLibrary.exe: 930 minutes, 2 days
CCXProcess.exe: 72 minutes, 3 days
CefSharp.BrowserSubprocess.exe: 645 minutes, 0 days
CEPHtmlEngine.exe: 15 minutes, 0 days
chrome.exe: 1386 minutes, 12 days
cleanmgr.exe: 9 minutes, 0 days
Code.exe: 526 minutes, 1 days
CodeSetup-stable-91fbdddc47bc9c09064bf7acf133d22631cbf083.exe: 121 minutes, 0 days
CodeSetup-stable-cd4ee3b1c348a13bafd8f9ad8060705f6d4b9cba.exe: 74 minutes, 0 days
CodeSetup-stable-fabdb6a30b49f79a7aba0f2ad9df9b399473380f.exe: 89 minutes, 0 days
com.docker.backend.exe: 422 minutes, 1 days
com.docker.build.exe: 422 minutes, 1 days
com.docker.dev-envs.exe: 422 minutes, 1 days
CompatTelRunner.exe: 80 minutes, 0 days
CompPkgSrv.exe: 0 minutes, 0 days
CortexLauncherService.exe: 900 minutes, 0 days
CptHost.exe: 82 minutes, 0 days
CreativeSDKAppServiceClient.exe: 285 minutes, 0 days
CRWindowsClientService.exe: 1 minutes, 0 days
Cursor.exe: 40 minutes, 0 days
Defrag.exe: 51 minutes, 0 days
DeltaForceClient-Win64-Shipping.exe: 334 minutes, 1 days
DeviceCensus.exe: 1 minutes, 0 days
df_launcher.exe: 344 minutes, 1 days
DirectX_9_SDK_Install.exe: 0 minutes, 0 days
Discord.exe: 1389 minutes, 7 days
DismHost.exe: 223 minutes, 0 days
Docker Desktop Installer (178610).exe: 0 minutes, 0 days
Docker Desktop.exe: 422 minutes, 1 days
docker-compose.exe: 365 minutes, 0 days
docker.exe: 523 minutes, 0 days
dotnet.exe: 6 minutes, 0 days
DPInst_amd64.exe: 0 minutes, 0 days
drvinst.exe: 1 minutes, 0 days
DXSETUP.exe: 0 minutes, 0 days
EasyAntiCheat_EOS.exe: 177 minutes, 0 days
EOSOverlayRenderer-Win64-Shipping.exe: 8 minutes, 0 days
EpicGamesLauncher.exe: 895 minutes, 1 days
EpicWebHelper.exe: 894 minutes, 1 days
FPSRunner.exe: 0 minutes, 0 days
FullTrustNotifier.exe: 0 minutes, 0 days
GameBar.exe: 24 minutes, 0 days
GameBarFTServer.exe: 24 minutes, 0 days
GameManagerService3.exe: 900 minutes, 0 days
GameOverlayUI.exe: 1065 minutes, 1 days
git-lfs.exe: 1 minutes, 0 days
git-remote-https.exe: 4 minutes, 0 days
git.exe: 17 minutes, 0 days
GitHubDesktop.exe: 1218 minutes, 0 days
hamachi-2-ui.exe: 331 minutes, 0 days
hotwheels-Win64-Shipping.exe: 8 minutes, 0 days
hotwheels.exe: 8 minutes, 0 days
