RiotClientCrashHandler.exe: 0 minutes, 0 days, started on 2024-09-24 12:45:19
Code.exe: 0 minutes, 0 days, started on 2024-09-24 12:45:19
RiotClientServices.exe: 0 minutes, 0 days, started on 2024-09-24 12:45:19
ms-teams.exe: 0 minutes, 0 days, started on 2024-09-24 12:45:19
ChromeNativeMessaging.exe: 0 minutes, 0 days, started on 2024-09-24 12:45:19
UnrealTraceServer.exe: 0 minutes, 0 days, started on 2024-09-24 12:45:19
Discord.exe: 0 minutes, 0 days, started on 2024-09-24 12:45:19
WhatsApp.exe: 0 minutes, 0 days, started on 2024-09-24 12:45:19
python.exe: 0 minutes, 0 days, started on 2024-09-24 12:45:19
chrome.exe: 0 minutes, 0 days, started on 2024-09-24 12:45:19
UnrealEditor.exe: 0 minutes, 0 days, started on 2024-09-24 12:45:19
